Ano,Codigo do municipio,Municipio,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2021,352780,LUPERCIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,-,-,-,-,-,-,-,69,
2021,352790,LUTECIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,18,
2021,352800,MACATUBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,60,
2021,352810,MACAUBAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,613,-,-,-,-,-,-,-,613,
2021,352820,MACEDONIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-,-,96,
2021,352830,MAGDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,17,
2021,352840,MAIRINQUE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,352850,MAIRIPORA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,18,
2021,352870,MARABA PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,7,
2021,352880,MARACAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,8,
2021,352885,MARAPOAMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,49,
2021,352890,MARIAPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352900,MARILIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2942,-,-,-,-,-,-,-,2942,
2021,352910,MARINOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,12,
2021,352920,MARTINOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,-,-,-,-,-,-,-,87,
2021,352930,MATAO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,9,
2021,352940,MAUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,64,
2021,352950,MENDONCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,25,
2021,352960,MERIDIANO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302,-,-,-,-,-,-,-,302,
2021,352965,MESOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,-,-,-,-,-,-,-,185,
2021,352980,MINEIROS DO TIETE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,22,
2021,352990,MIRACATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,-,-,-,-,167,
2021,353000,MIRA ESTRELA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,-,-,-,-,-,-,-,135,
2021,353010,MIRANDOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604,-,-,-,-,-,-,-,604,
2021,353020,MIRANTE DO PARANAPANEMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,-,48,
2021,353030,MIRASSOL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,98,
2021,353040,MIRASSOLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,-,-,-,-,-,-,-,101,
2021,353050,MOCOCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,8,
2021,353060,MOGI DAS CRUZES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,-,-,-,-,-,-,-,121,
2021,353070,MOGI GUACU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,77,
2021,353080,MOGI MIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,-,-,-,-,-,-,-,98,
2021,353090,MOMBUCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,-,-,-,-,-,-,-,88,
2021,353100,MONCOES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,70,
2021,353110,MONGAGUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,518,-,-,-,-,-,-,-,518,
2021,353120,MONTE ALEGRE DO SUL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,353130,MONTE ALTO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,17,
2021,353140,MONTE APRAZIVEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,80,
2021,353150,MONTE AZUL PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,353160,MONTE CASTELO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,6,
2021,353180,MONTE MOR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249,-,-,-,-,-,-,-,249,
2021,353190,MORRO AGUDO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
2021,353200,MORUNGABA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,353205,MOTUCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,353210,MURUTINGA DO SUL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,-,-,-,-,-,-,-,182,
2021,353215,NANTES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,353220,NARANDIBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,24,
2021,353240,NAZARE PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,353250,NEVES PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,53,
2021,353260,NHANDEARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,-,-,-,-,167,
2021,353270,NIPOA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,25,
2021,353280,NOVA ALIANCA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,-,-,-,-,-,-,-,254,
2021,353282,NOVA CAMPINA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,353286,NOVA CASTILHO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
2021,353290,NOVA EUROPA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,-,-,32,
