Código do município,Município,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
230360,CATARINA,-,-,-,-,-,-,-,-,-,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165
230370,CAUCAIA,-,-,-,-,-,-,-,-,-,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,143
230380,CEDRO,-,-,-,-,-,-,-,-,-,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79
230390,CHAVAL,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
230393,CHORO,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33
230395,CHOROZINHO,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
230400,COREAU,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
230410,CRATEUS,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43
230420,CRATO,-,-,-,-,-,-,-,-,-,1514,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1514
230425,CRUZ,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
230428,EUSEBIO,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
230430,FARIAS BRITO,-,-,-,-,-,-,-,-,-,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119
230435,FORQUILHA,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
230440,FORTALEZA,-,-,-,-,-,-,-,-,-,10054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10054
230445,FORTIM,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
230470,GRANJA,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
230480,GRANJEIRO,-,-,-,-,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150
230490,GROAIRAS,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
230495,GUAIUBA,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
230500,GUARACIABA DO NORTE,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
230510,GUARAMIRANGA,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
230523,HORIZONTE,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42
230526,IBARETAMA,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
230533,IBICUITINGA,-,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159
230535,ICAPUI,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60
230540,ICO,-,-,-,-,-,-,-,-,-,1101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1101
230550,IGUATU,-,-,-,-,-,-,-,-,-,660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,660
230560,INDEPENDENCIA,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
230565,IPAPORANGA,-,-,-,-,-,-,-,-,-,315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,315
230570,IPAUMIRIM,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26
230580,IPU,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
230590,IPUEIRAS,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
230600,IRACEMA,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
230610,IRAUCUBA,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40
230620,ITAICABA,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
230625,ITAITINGA,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
230640,ITAPIPOCA,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
230650,ITAPIUNA,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
230655,ITAREMA,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
